start,sanction_id
2013-01-31,1
2013-02-28,0
2013-03-31,0
2013-04-30,11
2013-05-31,1
2013-06-30,0
2013-07-31,1
2013-08-31,0
2013-09-30,0
2013-10-31,3
2013-11-30,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,57
2014-04-30,33
2014-05-31,24
2014-06-30,4
2014-07-31,54
2014-08-31,14
2014-09-30,39
2014-10-31,16
2014-11-30,0
2014-12-31,20
2015-01-31,1
2015-02-28,9
2015-03-31,6
2015-04-30,1
2015-05-31,0
2015-06-30,0
2015-07-31,85
2015-08-31,1
2015-09-30,18
2015-10-31,40
2015-11-30,4
2015-12-31,163
2016-01-31,2
2016-02-29,2
2016-03-31,0
2016-04-30,0
2016-05-31,0
2016-06-30,0
2016-07-31,2
2016-08-31,10
2016-09-30,253
2016-10-31,0
2016-11-30,12
2016-12-31,104
2017-01-31,12
2017-02-28,0
2017-03-31,3
2017-04-30,0
2017-05-31,1
2017-06-30,75
2017-07-31,13
2017-08-31,24
2017-09-30,7
2017-10-31,2
2017-11-30,5
2017-12-31,20
2018-01-31,50
2018-02-28,19
2018-03-31,16
2018-04-30,34
2018-05-31,2
2018-06-30,62
2018-07-31,6
2018-08-31,17
2018-09-30,14
2018-10-31,0
2018-11-30,13
2018-12-31,24
2019-01-31,8
2019-02-28,0
2019-03-31,143
2019-04-30,0
2019-05-31,4
2019-06-30,1
2019-07-31,0
2019-08-31,2
2019-09-30,8
2019-10-31,0
2019-11-30,0
2019-12-31,23
2020-01-31,13
2020-02-29,4
2020-03-31,74
2020-04-30,4
2020-05-31,54
2020-06-30,0
2020-07-31,29
2020-08-31,7
2020-09-30,38
2020-10-31,31
2020-11-30,5
2020-12-31,60
2021-01-31,2
2021-02-28,14
2021-03-31,82
2021-04-30,51
2021-05-31,68
2021-06-30,438
2021-07-31,15
2021-08-31,39
2021-09-30,11
2021-10-31,12
2021-11-30,4
2021-12-31,27
2022-01-31,7
2022-02-28,65
