start,CH,EU,GB,US
2022-02-22,0.0,0.0,6.0,55.0
2022-02-23,0.0,277.0,0.0,1.0
2022-02-24,0.0,0.0,11.0,73.0
2022-02-25,280.0,2.0,2.0,4.0
2022-02-26,0.0,3.0,0.0,0.0
